xe	re	ue	pe	Ee
0	0.712875223	0.44890169	24.9045627	87.4391919
0.002	0.712875223	0.44890169	24.9045627	87.4391919
0.004	0.712875223	0.44890169	24.9045627	87.4391919
0.006	0.712875223	0.44890169	24.9045627	87.4391919
0.008	0.712875223	0.44890169	24.9045627	87.4391919
0.01	0.712875223	0.44890169	24.9045627	87.4391919
0.012	0.712875223	0.44890169	24.9045627	87.4391919
0.014	0.712875223	0.44890169	24.9045627	87.4391919
0.016	0.712875223	0.44890169	24.9045627	87.4391919
0.018	0.712875223	0.44890169	24.9045627	87.4391919
0.02	0.712875223	0.44890169	24.9045627	87.4391919
0.022	0.712875223	0.44890169	24.9045627	87.4391919
0.024	0.712875223	0.44890169	24.9045627	87.4391919
0.026	0.712875223	0.44890169	24.9045627	87.4391919
0.028	0.712875223	0.44890169	24.9045627	87.4391919
0.03	0.712875223	0.44890169	24.9045627	87.4391919
0.032	0.712875223	0.44890169	24.9045627	87.4391919
0.034	0.712875223	0.44890169	24.9045627	87.4391919
0.036	0.712875223	0.44890169	24.9045627	87.4391919
0.038	0.712875223	0.44890169	24.9045627	87.4391919
0.04	0.712875223	0.44890169	24.9045627	87.4391919
0.042	0.712875223	0.44890169	24.9045627	87.4391919
0.044	0.712875223	0.44890169	24.9045627	87.4391919
0.046	0.712875223	0.44890169	24.9045627	87.4391919
0.048	0.712875223	0.44890169	24.9045627	87.4391919
0.05	0.712875223	0.44890169	24.9045627	87.4391919
0.052	0.712875223	0.44890169	24.9045627	87.4391919
0.054	0.712875223	0.44890169	24.9045627	87.4391919
0.056	0.712875223	0.44890169	24.9045627	87.4391919
0.058	0.712875223	0.44890169	24.9045627	87.4391919
0.06	0.712875223	0.44890169	24.9045627	87.4391919
0.062	0.712875223	0.44890169	24.9045627	87.4391919
0.064	0.712875223	0.44890169	24.9045627	87.4391919
0.066	0.712875223	0.44890169	24.9045627	87.4391919
0.068	0.712875223	0.44890169	24.9045627	87.4391919
0.07	0.712875223	0.44890169	24.9045627	87.4391919
0.072	0.712875223	0.44890169	24.9045627	87.4391919
0.074	0.712875223	0.44890169	24.9045627	87.4391919
0.076	0.712875223	0.44890169	24.9045627	87.4391919
0.078	0.712875223	0.44890169	24.9045627	87.4391919
0.08	0.712875223	0.44890169	24.9045627	87.4391919
0.082	0.712875223	0.44890169	24.9045627	87.4391919
0.084	0.712875223	0.44890169	24.9045627	87.4391919
0.086	0.712875223	0.44890169	24.9045627	87.4391919
0.088	0.712875223	0.44890169	24.9045627	87.4391919
0.09	0.712875223	0.44890169	24.9045627	87.4391919
0.092	0.712875223	0.44890169	24.9045627	87.4391919
0.094	0.712875223	0.44890169	24.9045627	87.4391919
0.096	0.712875223	0.44890169	24.9045627	87.4391919
0.098	0.712875223	0.44890169	24.9045627	87.4391919
0.1	0.712875223	0.44890169	24.9045627	87.4391919
0.102	0.712875223	0.44890169	24.9045627	87.4391919
0.104	0.712875223	0.44890169	24.9045627	87.4391919
0.106	0.712875223	0.44890169	24.9045627	87.4391919
0.108	0.712875223	0.44890169	24.9045627	87.4391919
0.11	0.712875223	0.44890169	24.9045627	87.4391919
0.112	0.712875223	0.44890169	24.9045627	87.4391919
0.114	0.712875223	0.44890169	24.9045627	87.4391919
0.116	0.712875223	0.44890169	24.9045627	87.4391919
0.118	0.712875223	0.44890169	24.9045627	87.4391919
0.12	0.712875223	0.44890169	24.9045627	87.4391919
0.122	0.712875223	0.44890169	24.9045627	87.4391919
0.124	0.712875223	0.44890169	24.9045627	87.4391919
0.126	0.712875223	0.44890169	24.9045627	87.4391919
0.128	0.712875223	0.44890169	24.9045627	87.4391919
0.13	0.712875223	0.44890169	24.9045627	87.4391919
0.132	0.712875223	0.44890169	24.9045627	87.4391919
0.134	0.712875223	0.44890169	24.9045627	87.4391919
0.136	0.712875223	0.44890169	24.9045627	87.4391919
0.138	0.712875223	0.44890169	24.9045627	87.4391919
0.14	0.712875223	0.44890169	24.9045627	87.4391919
0.142	0.712875223	0.44890169	24.9045627	87.4391919
0.144	0.712875223	0.44890169	24.9045627	87.4391919
0.146	0.712875223	0.44890169	24.9045627	87.4391919
0.148	0.712875223	0.44890169	24.9045627	87.4391919
0.15	0.712875223	0.44890169	24.9045627	87.4391919
0.152	0.712875223	0.44890169	24.9045627	87.4391919
0.154	0.712875223	0.44890169	24.9045627	87.4391919
0.156	0.712875223	0.44890169	24.9045627	87.4391919
0.158	0.712875223	0.44890169	24.9045627	87.4391919
0.16	0.712875223	0.44890169	24.9045627	87.4391919
0.162	0.712875223	0.44890169	24.9045627	87.4391919
0.164	0.712875223	0.44890169	24.9045627	87.4391919
0.166	0.712875223	0.44890169	24.9045627	87.4391919
0.168	0.712875223	0.44890169	24.9045627	87.4391919
0.17	0.712875223	0.44890169	24.9045627	87.4391919
0.172	0.712875223	0.44890169	24.9045627	87.4391919
0.174	0.712875223	0.44890169	24.9045627	87.4391919
0.176	0.712875223	0.44890169	24.9045627	87.4391919
0.178	0.712875223	0.44890169	24.9045627	87.4391919
0.18	0.712875223	0.44890169	24.9045627	87.4391919
0.182	0.712875223	0.44890169	24.9045627	87.4391919
0.184	0.712875223	0.44890169	24.9045627	87.4391919
0.186	0.712875223	0.44890169	24.9045627	87.4391919
0.188	0.712875223	0.44890169	24.9045627	87.4391919
0.19	0.712875223	0.44890169	24.9045627	87.4391919
0.192	0.712875223	0.44890169	24.9045627	87.4391919
0.194	0.712875223	0.44890169	24.9045627	87.4391919
0.196	0.712875223	0.44890169	24.9045627	87.4391919
0.198	0.712875223	0.44890169	24.9045627	87.4391919
0.2	0.712875223	0.44890169	24.9045627	87.4391919
0.202	0.712875223	0.44890169	24.9045627	87.4391919
0.204	0.712875223	0.44890169	24.9045627	87.4391919
0.206	0.712875223	0.44890169	24.9045627	87.4391919
0.208	0.712875223	0.44890169	24.9045627	87.4391919
0.21	0.712875223	0.44890169	24.9045627	87.4391919
0.212	0.712875223	0.44890169	24.9045627	87.4391919
0.214	0.712875223	0.44890169	24.9045627	87.4391919
0.216	0.712875223	0.44890169	24.9045627	87.4391919
0.218	0.712875223	0.44890169	24.9045627	87.4391919
0.22	0.712875223	0.44890169	24.9045627	87.4391919
0.222	0.712875223	0.44890169	24.9045627	87.4391919
0.224	0.712875223	0.44890169	24.9045627	87.4391919
0.226	0.712875223	0.44890169	24.9045627	87.4391919
0.228	0.712875223	0.44890169	24.9045627	87.4391919
0.23	0.712875223	0.44890169	24.9045627	87.4391919
0.232	0.712875223	0.44890169	24.9045627	87.4391919
0.234	0.712875223	0.44890169	24.9045627	87.4391919
0.236	0.712875223	0.44890169	24.9045627	87.4391919
0.238	0.712875223	0.44890169	24.9045627	87.4391919
0.24	0.712875223	0.44890169	24.9045627	87.4391919
0.242	0.712875223	0.44890169	24.9045627	87.4391919
0.244	0.712875223	0.44890169	24.9045627	87.4391919
0.246	0.712875223	0.44890169	24.9045627	87.4391919
0.248	0.712875223	0.44890169	24.9045627	87.4391919
0.25	0.712875223	0.44890169	24.9045627	87.4391919
0.252	0.712875223	0.44890169	24.9045627	87.4391919
0.254	0.712875223	0.44890169	24.9045627	87.4391919
0.256	0.712875223	0.44890169	24.9045627	87.4391919
0.258	0.712875223	0.44890169	24.9045627	87.4391919
0.26	0.712875223	0.44890169	24.9045627	87.4391919
0.262	0.712875223	0.44890169	24.9045627	87.4391919
0.264	0.712875223	0.44890169	24.9045627	87.4391919
0.266	0.712875223	0.44890169	24.9045627	87.4391919
