xe	re	ue	pe	Ee
0	1	0.75	1	2.78125
0.002	1	0.75	1	2.78125
0.004	1	0.75	1	2.78125
0.006	1	0.75	1	2.78125
0.008	1	0.75	1	2.78125
0.01	1	0.75	1	2.78125
0.012	1	0.75	1	2.78125
0.014	1	0.75	1	2.78125
0.016	1	0.75	1	2.78125
0.018	1	0.75	1	2.78125
0.02	1	0.75	1	2.78125
0.022	1	0.75	1	2.78125
0.024	1	0.75	1	2.78125
0.026	1	0.75	1	2.78125
0.028	1	0.75	1	2.78125
0.03	1	0.75	1	2.78125
0.032	1	0.75	1	2.78125
0.034	1	0.75	1	2.78125
0.036	1	0.75	1	2.78125
0.038	1	0.75	1	2.78125
0.04	1	0.75	1	2.78125
0.042	1	0.75	1	2.78125
0.044	1	0.75	1	2.78125
0.046	1	0.75	1	2.78125
0.048	1	0.75	1	2.78125
0.05	1	0.75	1	2.78125
0.052	1	0.75	1	2.78125
0.054	1	0.75	1	2.78125
0.056	1	0.75	1	2.78125
0.058	1	0.75	1	2.78125
0.06	1	0.75	1	2.78125
0.062	1	0.75	1	2.78125
0.064	1	0.75	1	2.78125
0.066	1	0.75	1	2.78125
0.068	1	0.75	1	2.78125
0.07	1	0.75	1	2.78125
0.072	1	0.75	1	2.78125
0.074	1	0.75	1	2.78125
0.076	1	0.75	1	2.78125
0.078	1	0.75	1	2.78125
0.08	1	0.75	1	2.78125
0.082	1	0.75	1	2.78125
0.084	1	0.75	1	2.78125
0.086	1	0.75	1	2.78125
0.088	1	0.75	1	2.78125
0.09	1	0.75	1	2.78125
0.092	1	0.75	1	2.78125
0.094	1	0.75	1	2.78125
0.096	1	0.75	1	2.78125
0.098	1	0.75	1	2.78125
0.1	1	0.75	1	2.78125
0.102	1	0.75	1	2.78125
0.104	1	0.75	1	2.78125
0.106	1	0.75	1	2.78125
0.108	1	0.75	1	2.78125
0.11	1	0.75	1	2.78125
0.112	1	0.75	1	2.78125
0.114	1	0.75	1	2.78125
0.116	1	0.75	1	2.78125
0.118	1	0.75	1	2.78125
0.12	1	0.75	1	2.78125
0.122	1	0.75	1	2.78125
0.124	1	0.75	1	2.78125
0.126	1	0.75	1	2.78125
0.128	1	0.75	1	2.78125
0.13	1	0.75	1	2.78125
0.132	1	0.75	1	2.78125
0.134	1	0.75	1	2.78125
0.136	1	0.75	1	2.78125
0.138	1	0.75	1	2.78125
0.14	1	0.75	1	2.78125
0.142	1	0.75	1	2.78125
0.144	1	0.75	1	2.78125
0.146	1	0.75	1	2.78125
0.148	1	0.75	1	2.78125
0.15	1	0.75	1	2.78125
0.152	1	0.75	1	2.78125
0.154	1	0.75	1	2.78125
0.156	1	0.75	1	2.78125
0.158	1	0.75	1	2.78125
0.16	1	0.75	1	2.78125
0.162	1	0.75	1	2.78125
0.164	1	0.75	1	2.78125
0.166	1	0.75	1	2.78125
0.168	1	0.75	1	2.78125
0.17	1	0.75	1	2.78125
0.172	1	0.75	1	2.78125
0.174	1	0.75	1	2.78125
0.176	1	0.75	1	2.78125
0.178	1	0.75	1	2.78125
0.18	1	0.75	1	2.78125
0.182	1	0.75	1	2.78125
0.184	1	0.75	1	2.78125
0.186	1	0.75	1	2.78125
0.188	1	0.75	1	2.78125
0.19	1	0.75	1	2.78125
0.192	1	0.75	1	2.78125
0.194	1	0.75	1	2.78125
0.196	1	0.75	1	2.78125
0.198	1	0.75	1	2.78125
0.2	1	0.75	1	2.78125
0.202	1	0.75	1	2.78125
0.204	1	0.75	1	2.78125
0.206	1	0.75	1	2.78125
0.208	1	0.75	1	2.78125
0.21	1	0.75	1	2.78125
0.212	1	0.75	1	2.78125
0.214	1	0.75	1	2.78125
0.216	1	0.75	1	2.78125
0.218	1	0.75	1	2.78125
0.22	1	0.75	1	2.78125
0.222	1	0.75	1	2.78125
0.224	1	0.75	1	2.78125
0.226	1	0.75	1	2.78125
0.228	1	0.75	1	2.78125
0.23	1	0.75	1	2.78125
0.232	1	0.75	1	2.78125
0.234	1	0.75	1	2.78125
0.236	1	0.75	1	2.78125
0.238	1	0.75	1	2.78125
0.24	1	0.75	1	2.78125
0.242	1	0.75	1	2.78125
0.244	1	0.75	1	2.78125
0.246	1	0.75	1	2.78125
0.248	1	0.75	1	2.78125
0.25	1	0.75	1	2.78125
0.252	1	0.75	1	2.78125
0.254	1	0.75	1	2.78125
0.256	1	0.75	1	2.78125
0.258	1	0.75	1	2.78125
0.26	1	0.75	1	2.78125
0.262	1	0.75	1	2.78125
0.264	1	0.75	1	2.78125
0.266	1	0.75	1	2.78125
0.268	1	0.75	1	2.78125
0.27	1	0.75	1	2.78125
0.272	1	0.75	1	2.78125
0.274	1	0.75	1	2.78125
0.276	1	0.75	1	2.78125
0.278	1	0.75	1	2.78125
0.28	1	0.75	1	2.78125
0.282	1	0.75	1	2.78125
0.284	1	0.75	1	2.78125
0.286	1	0.75	1	2.78125
0.288	1	0.75	1	2.78125
0.29	1	0.75	1	2.78125
0.292	1	0.75	1	2.78125
0.294	1	0.75	1	2.78125
0.296	1	0.75	1	2.78125
0.298	1	0.75	1	2.78125
0.3	1	0.75	1	2.78125
0.302	1	0.75	1	2.78125
0.304	1	0.75	1	2.78125
0.306	1	0.75	1	2.78125
0.308	1	0.75	1	2.78125
0.31	1	0.75	1	2.78125
0.312	1	0.75	1	2.78125
0.314	1	0.75	1	2.78125
0.316	1	0.75	1	2.78125
0.318	1	0.75	1	2.78125
0.32	1	0.75	1	2.78125
0.322	1	0.75	1	2.78125
0.324	1	0.75	1	2.78125
0.326	1	0.75	1	2.78125
0.328	1	0.75	1	2.78125
0.33	1	0.75	1	2.78125
0.332	1	0.75	1	2.78125
0.334	1	0.75	1	2.78125
0.336	1	0.75	1	2.78125
0.338	1	0.75	1	2.78125
0.34	1	0.75	1	2.78125
0.342	1	0.75	1	2.78125
0.344	1	0.75	1	2.78125
0.346	1	0.75	1	2.78125
0.348	1	0.75	1	2.78125
0.35	1	0.75	1	2.78125
