xe	re	ue	pe	Ee
0	3.857	0.92	10.333	7.120762873
0.002	3.857	0.92	10.333	7.120762873
0.004	3.857	0.92	10.333	7.120762873
0.006	3.857	0.92	10.333	7.120762873
0.008	3.857	0.92	10.333	7.120762873
0.01	3.857	0.92	10.333	7.120762873
0.012	3.857	0.92	10.333	7.120762873
0.014	3.857	0.92	10.333	7.120762873
0.016	3.857	0.92	10.333	7.120762873
0.018	3.857	0.92	10.333	7.120762873
0.02	3.857	0.92	10.333	7.120762873
0.022	3.857	0.92	10.333	7.120762873
0.024	3.857	0.92	10.333	7.120762873
0.026	3.857	0.92	10.333	7.120762873
0.028	3.857	0.92	10.333	7.120762873
0.03	3.857	0.92	10.333	7.120762873
0.032	3.857	0.92	10.333	7.120762873
0.034	3.857	0.92	10.333	7.120762873
0.036	3.857	0.92	10.333	7.120762873
0.038	3.857	0.92	10.333	7.120762873
0.04	3.857	0.92	10.333	7.120762873
0.042	3.857	0.92	10.333	7.120762873
0.044	3.857	0.92	10.333	7.120762873
0.046	3.857	0.92	10.333	7.120762873
0.048	3.857	0.92	10.333	7.120762873
0.05	3.857	0.92	10.333	7.120762873
0.052	3.857	0.92	10.333	7.120762873
0.054	3.857	0.92	10.333	7.120762873
0.056	3.857	0.92	10.333	7.120762873
0.058	3.857	0.92	10.333	7.120762873
0.06	3.857	0.92	10.333	7.120762873
0.062	3.857	0.92	10.333	7.120762873
0.064	3.857	0.92	10.333	7.120762873
0.066	3.857	0.92	10.333	7.120762873
0.068	3.857	0.92	10.333	7.120762873
0.07	3.857	0.92	10.333	7.120762873
0.072	3.857	0.92	10.333	7.120762873
0.074	3.857	0.92	10.333	7.120762873
0.076	3.857	0.92	10.333	7.120762873
0.078	3.857	0.92	10.333	7.120762873
0.08	3.857	0.92	10.333	7.120762873
0.082	3.857	0.92	10.333	7.120762873
0.084	3.857	0.92	10.333	7.120762873
0.086	3.857	0.92	10.333	7.120762873
0.088	3.857	0.92	10.333	7.120762873
0.09	3.857	0.92	10.333	7.120762873
0.092	3.857	0.92	10.333	7.120762873
0.094	3.857	0.92	10.333	7.120762873
0.096	3.857	0.92	10.333	7.120762873
0.098	3.857	0.92	10.333	7.120762873
0.1	3.857	0.92	10.333	7.120762873
0.102	3.857	0.92	10.333	7.120762873
0.104	3.857	0.92	10.333	7.120762873
