xe	re	ue	pe	Ee
0	1	-2	1	4.5
0.002	1	-2	1	4.5
0.004	1	-2	1	4.5
0.006	1	-2	1	4.5
0.008	1	-2	1	4.5
0.01	1	-2	1	4.5
0.012	1	-2	1	4.5
0.014	1	-2	1	4.5
0.016	1	-2	1	4.5
0.018	1	-2	1	4.5
0.02	1	-2	1	4.5
0.022	1	-2	1	4.5
0.024	0.993059067	-1.991764481	0.990296202	4.476607433
0.026	0.983755704	-1.980653369	0.977332113	4.445169733
0.028	0.974522199	-1.969542258	0.964513767	4.413873126
0.03	0.965358156	-1.958431147	0.951839795	4.382717613
0.032	0.956263183	-1.947320036	0.939308841	4.351703193
0.034	0.94723689	-1.936208925	0.926919555	4.320829867
0.036	0.938278886	-1.925097814	0.914670602	4.290097634
0.038	0.929388783	-1.913986703	0.902560654	4.259506494
0.04	0.920566194	-1.902875592	0.890588394	4.229056448
0.042	0.911810734	-1.891764481	0.878752515	4.198747496
0.044	0.90312202	-1.880653369	0.86705172	4.168579637
0.046	0.894499669	-1.869542258	0.855484722	4.138552871
0.048	0.885943299	-1.858431147	0.844050242	4.108667199
0.05	0.877452533	-1.847320036	0.832747015	4.078922621
0.052	0.869026991	-1.836208925	0.821573781	4.049319135
0.054	0.860666297	-1.825097814	0.810529293	4.019856744
0.056	0.852370076	-1.813986703	0.799612312	3.990535446
0.058	0.844137955	-1.802875592	0.788821609	3.961355241
0.06	0.835969561	-1.791764481	0.778155964	3.93231613
0.062	0.827864524	-1.780653369	0.767614167	3.903418112
0.064	0.819822474	-1.769542258	0.757195017	3.874661188
0.066	0.811843043	-1.758431147	0.746897323	3.846045357
0.068	0.803925866	-1.747320036	0.736719903	3.81757062
0.07	0.796070577	-1.736208925	0.726661585	3.789236976
0.072	0.788276812	-1.725097814	0.716721203	3.761044425
0.074	0.78054421	-1.713986703	0.706897603	3.732992968
0.076	0.77287241	-1.702875592	0.697189641	3.705082605
0.078	0.765261052	-1.691764481	0.687596179	3.677313335
0.08	0.757709779	-1.680653369	0.67811609	3.649685159
0.082	0.750218234	-1.669542258	0.668748255	3.622198076
0.084	0.742786062	-1.658431147	0.659491563	3.594852086
0.086	0.73541291	-1.647320036	0.650344916	3.56764719
0.088	0.728098425	-1.636208925	0.641307218	3.540583387
0.09	0.720842257	-1.625097814	0.632377388	3.513660678
0.092	0.713644056	-1.613986703	0.623554351	3.486879063
0.094	0.706503474	-1.602875592	0.614837038	3.46023854
0.096	0.699420164	-1.591764481	0.606224394	3.433739112
0.098	0.692393782	-1.580653369	0.597715369	3.407380777
0.1	0.685423983	-1.569542258	0.58930892	3.381163535
